topic.id,topic.label
1,Sports
2,Money
3,Theater
4,Sports
5,Travel
6,Sports
7,California
8,Football
9,Wellness
10,Discussions
11,Campus Action
12,Food
13,Student Gov
14,TSL
15,Sex
16,Academics
17,College Experience
18,Alcohol
19,Fashion
20,Advocates
21,Sports
22,Worldviews
23,Art
24,Internet
25,Semester Ends
26,Parties
27,Student Life
28,Running
29,Community
30,Sports
31,Activism
32,Sustainability
33,Admissions
34,Safety
35,Miscellaneous
36,Work
37,Sports
38,Administration
39,Support Systems
40,Music
41,America
42,Race
43,NA
44,Writing
45,Times
46,Administration
47,Residence
48,Politics
49,Legal
50,World News
