topic.id,topic.label
1,Sports
2,Budget
3,Theater
4,Sports
5,Abroad
6,Sports
7,Sustainability
8,Football
9,Life Perspective
10,NA
11,Campus Activism
12,Food
13,Student Gov
14,Discussion
15,Relationships
16,Politics
17,Student Life
18,Policies
19,Fashion
20,Sexual Assault
21,Sports
22,Beliefs
23,Art
24,Tech
25,Breaks
26,Admin and Policy
27,First Year
28,Running
29,Community
30,Sports
31,Protests
32,Departments and Faculty
33,Admissions
34,Residence
35,Miscellaneous
36,Work
37,Gender
38,Administration
39,Support
40,Music
41,America
42,Race
43,Academics
44,Writing
45,Times
