id,article_id,profile_id
1,1,2
2,2,38
4,4,14
5,5,20
6,6,6
7,7,27
8,8,20
9,9,28
10,10,24
11,11,158
12,12,153
13,13,151
14,14,114
15,15,27
16,16,18
17,17,30
18,18,17
19,19,21
20,20,32
21,21,33
22,22,34
23,23,29
24,24,35
25,25,36
26,26,23
27,27,36
28,28,33
29,29,9
30,29,8
31,30,159
32,31,39
33,32,159
34,33,4
35,34,9
36,34,8
37,35,27
38,36,48
39,37,158
40,38,27
41,39,37
42,40,34
43,41,36
44,42,42
45,43,33
46,44,151
47,45,20
48,46,21
49,47,21
50,48,40
51,49,21
52,50,28
53,51,41
54,52,38
55,53,22
56,54,25
57,55,45
58,56,46
59,57,47
60,58,49
61,59,34
62,60,39
63,61,20
64,62,27
65,63,20
66,64,18
67,65,114
68,66,153
69,67,9
70,67,8
71,68,55
72,69,23
73,70,56
74,71,22
75,72,22
76,73,53
77,74,38
78,75,52
79,76,37
80,77,2
81,78,4
82,79,44
83,80,32
84,81,159
85,82,149
86,83,36
87,84,36
88,85,34
89,86,158
90,87,31
91,88,151
92,89,34
93,90,42
94,91,57
95,92,25
96,93,39
97,94,35
98,95,18
99,96,27
100,97,9
101,97,8
102,98,114
103,99,153
104,100,12
105,101,96
106,102,158
107,103,37
108,104,42
109,105,36
110,106,31
111,107,27
112,108,151
113,109,34
114,110,33
115,111,20
116,112,21
117,113,21
118,114,26
119,115,23
120,116,58
121,117,22
122,118,38
123,119,25
124,120,151
125,121,35
126,122,6
127,123,7
128,124,10
129,125,3
130,126,34
131,127,159
132,128,39
133,129,158
134,130,32
135,131,34
136,132,7
137,133,39
138,134,37
139,135,36
140,136,42
141,137,36
142,138,159
143,139,34
144,140,33
145,141,33
146,142,149
147,143,20
148,144,21
149,145,60
150,146,22
151,147,18
152,148,95
153,149,61
154,149,49
155,150,153
156,151,114
157,152,5
158,153,35
159,154,33
160,155,20
161,156,151
162,157,63
163,157,62
164,158,157
165,159,151
166,160,66
167,161,153
168,162,153
169,163,101
170,164,75
171,165,70
172,166,77
173,167,67
174,168,68
175,169,74
176,170,79
177,171,68
178,172,67
179,173,81
180,174,85
181,175,84
182,176,86
183,177,88
184,178,89
185,179,154
186,180,90
187,181,91
188,182,92
189,183,93
190,184,94
191,185,2
192,186,76
193,187,7
194,188,100
195,189,97
196,190,98
197,191,153
198,192,105
199,193,72
200,193,76
201,194,80
202,195,103
203,196,157
204,197,104
205,198,39
206,199,76
207,200,76
208,201,71
209,202,71
210,203,27
211,204,67
212,205,67
213,206,47
214,207,47
